doc_id,doc_dt,item,category,amount,price,discount,shop_num,cash_num
EA3976YB26788F1F3K1G811PR,2025-05-12 09:51:30,Пиво 4.2% РАО «Яковлева-Лыткина»,Алкогольные напитки,4,857.17,56.0,8,4
EA3976YB26788F1F3K1G811PR,2025-05-12 09:51:30,Курица 1кг.,"Птица, мясо",2,979.08,81.0,8,4
EA3976YB26788F1F3K1G811PR,2025-05-12 09:51:30,Чай (Италия) 120г.,"Чай, кофе, какао",1,927.13,39.0,8,4
EA3976YB26788F1F3K1G811PR,2025-05-12 09:51:30,Сырокопч. сосиски 400г.,"Колбасы, сосиски",3,231.56,10.0,8,4
EA3976YB26788F1F3K1G811PR,2025-05-12 09:51:30,Кефир 1%  450г.,Кисломолочные продукты,5,110.37,0.0,8,4
EA3976YB26788F1F3K1G811PR,2025-05-12 09:51:30,Варен. сосиски 300г.,"Колбасы, сосиски",2,633.24,25.0,8,4
EA3976YB26788F1F3K1G811PR,2025-05-12 09:51:30,Говядина 1кг.,"Птица, мясо",3,781.62,12.0,8,4
EA3976YB26788F1F3K1G811PR,2025-05-12 09:51:30,Кукуруза 350г.,Консервы,2,958.75,10.0,8,4
XG8465EN62807K2S6T0W862JG,2025-05-12 10:01:31,Пиво 4.5% АО «Игнатов-Громов»,Алкогольные напитки,5,769.17,1.0,8,4
XG8465EN62807K2S6T0W862JG,2025-05-12 10:01:31,Яйцо С0,Яйцо,4,325.24,22.0,8,4
XG8465EN62807K2S6T0W862JG,2025-05-12 10:01:31,Крабовое мясо 1кг.,"Рыба, морепродукты",4,459.85,26.0,8,4
XG8465EN62807K2S6T0W862JG,2025-05-12 10:01:31,Майонез 220г.,"Бакалея, соусы",3,928.75,38.0,8,4
RH9556CN95386M9I2C1D807RC,2025-05-12 10:23:08,Минеральная вода Зайцева Лимитед,Безалкогольные напитки,1,882.2,1.0,8,4
RH9556CN95386M9I2C1D807RC,2025-05-12 10:23:08,Молоко ультрапастеризованное 2.5% 900г.,Молочные продукты,1,252.93,0.0,8,4
RH9556CN95386M9I2C1D807RC,2025-05-12 10:23:08,Чай (Дания) 200г.,"Чай, кофе, какао",4,256.74,13.0,8,4
