id,date,amount,product
1,2023-04-25,35.21,Product 6
2,2022-08-31,359.19,Product 9
3,2023-01-22,117.53,Product 5
4,2022-12-15,366.68,Product 4
5,2023-03-06,628.65,Product 2
6,2022-08-04,843.69,Product 3
7,2022-10-13,190.38,Product 7
8,2023-03-27,213.37,Product 5
9,2023-04-11,189.66,Product 6
10,2023-02-04,530.21,Product 1
11,2023-01-04,974.04,Product 10
12,2023-03-28,907.95,Product 8
13,2022-09-02,590.5,Product 3
14,2022-07-12,51.17,Product 1
15,2023-04-20,805.5,Product 3
16,2023-01-28,468.07,Product 6
17,2023-04-15,170.13,Product 5
18,2022-12-20,628.22,Product 2
19,2022-11-22,124.53,Product 6
20,2023-06-28,859.36,Product 2
21,2022-08-13,478.53,Product 7
22,2022-10-06,645.91,Product 5
23,2022-11-05,711.55,Product 9
24,2022-12-23,76.53,Product 10
25,2023-03-17,538.73,Product 3
26,2023-04-14,760.1,Product 5
27,2023-01-23,493.75,Product 3
28,2022-10-16,434.3,Product 10
29,2022-07-11,780.39,Product 2
30,2023-04-06,474.46,Product 10
31,2022-11-06,131.6,Product 8
32,2022-09-27,281.04,Product 9
33,2022-12-31,995.25,Product 10
34,2022-09-24,321.29,Product 10
35,2023-04-13,209.67,Product 3
36,2023-02-21,136.28,Product 3
37,2022-09-15,171.18,Product 10
38,2022-10-08,620.19,Product 2
39,2022-08-31,515.02,Product 6
40,2022-12-28,158.91,Product 5
41,2022-09-06,437.27,Product 5
42,2022-11-14,843.92,Product 1
43,2023-01-21,908.8,Product 9
44,2022-10-20,565.41,Product 3
45,2023-05-27,936.58,Product 6
46,2022-07-18,170.47,Product 1
47,2023-01-24,830.08,Product 1
48,2023-03-27,552.9,Product 5
49,2023-01-23,530.67,Product 1
50,2023-04-24,142.82,Product 7
51,2022-10-15,572.09,Product 1
52,2022-09-23,138.63,Product 8
53,2022-12-31,640.47,Product 5
54,2022-09-01,385.22,Product 7
55,2023-01-07,926.08,Product 4
