doc_id,doc_dt,item,category,amount,price,discount,shop_num,cash_num
DV8899NW57613C4R8X3E713BW,2025-05-12 09:12:49,Апельсин (Швейцария),Фрукты,5,0.06,0.0,6,4
DV8899NW57613C4R8X3E713BW,2025-05-12 09:12:49,Пиво безалкогольное АО «Сидоров-Субботин»,Безалкогольные напитки,1,167.79,5.0,6,4
DV8899NW57613C4R8X3E713BW,2025-05-12 09:12:49,Кефир 2.5%  400г.,Кисломолочные продукты,4,936.46,76.0,6,4
DV8899NW57613C4R8X3E713BW,2025-05-12 09:12:49,Курица 1кг.,"Птица, мясо",4,269.53,18.0,6,4
DV8899NW57613C4R8X3E713BW,2025-05-12 09:12:49,Копчен. колбаса 250г.,"Колбасы, сосиски",2,431.09,24.0,6,4
DV8899NW57613C4R8X3E713BW,2025-05-12 09:12:49,Сырокопч. сосиски 400г.,"Колбасы, сосиски",1,789.95,72.0,6,4
DV8899NW57613C4R8X3E713BW,2025-05-12 09:12:49,Пиво безалкогольное Смирнов и партнеры,Безалкогольные напитки,1,694.06,19.0,6,4
DV8899NW57613C4R8X3E713BW,2025-05-12 09:12:49,Чипсы 140г.,"Чипсы, орехи, сухарики",3,191.85,17.0,6,4
DV8899NW57613C4R8X3E713BW,2025-05-12 09:12:49,Варен. сосиски 400г.,"Колбасы, сосиски",2,337.98,20.0,6,4
ML2062SH28478U9F7G5V417DN,2025-05-12 09:16:10,Свежий томат 450г.,Овощи,4,499.16,19.0,6,4
ML2062SH28478U9F7G5V417DN,2025-05-12 09:16:10,Креветки 500г.,"Рыба, морепродукты",1,90.47,4.0,6,4
ML2062SH28478U9F7G5V417DN,2025-05-12 09:16:10,Орехи 65г.,"Чипсы, орехи, сухарики",1,395.28,37.0,6,4
ML2062SH28478U9F7G5V417DN,2025-05-12 09:16:10,Яйцо С0,Яйцо,4,169.88,13.0,6,4
YX1191WJ47886T2H1R1P741JK,2025-05-12 09:33:11,Кофе (Доминика) 120г.,"Чай, кофе, какао",4,853.7,56.0,6,4
YX1191WJ47886T2H1R1P741JK,2025-05-12 09:33:11,Сыр Российский 50% 200г.,Сыры,4,631.84,33.0,6,4
YX1191WJ47886T2H1R1P741JK,2025-05-12 09:33:11,Булка кукурузн. 250г.,"Хлеб, выпечка",2,363.31,10.0,6,4
