user_id,session
user0,"[""2023-05-06 20:43:45"", 1192, [[""page0"", ""2023-05-06 20:49:36""], [""page1"", ""2023-05-06 20:57:32""], [""page2"", ""2023-05-06 20:55:15""], [""page3"", ""2023-05-06 20:45:38""], [""page4"", ""2023-05-06 20:46:51""], [""page5"", ""2023-05-06 20:47:12""], [""page6"", ""2023-05-06 20:48:26""], [""page7"", ""2023-05-06 21:01:09""], [""page8"", ""2023-05-06 20:48:19""], [""page9"", ""2023-05-06 20:59:53""]]]"
user1,"[""2023-05-03 15:39:47"", 1642, [[""page0"", ""2023-05-03 15:42:04""], [""page1"", ""2023-05-03 16:06:25""], [""page2"", ""2023-05-03 16:04:40""], [""page3"", ""2023-05-03 15:42:45""], [""page4"", ""2023-05-03 15:42:23""], [""page5"", ""2023-05-03 15:52:53""], [""page6"", ""2023-05-03 15:44:29""], [""page7"", ""2023-05-03 15:50:14""], [""page8"", ""2023-05-03 16:04:50""], [""page9"", ""2023-05-03 15:52:29""], [""page10"", ""2023-05-03 15:59:08""], [""page11"", ""2023-05-03 15:55:33""]]]"
user1,"[""2023-05-16 21:24:30"", 506, [[""page0"", ""2023-05-16 21:26:08""], [""page1"", ""2023-05-16 21:25:40""], [""page2"", ""2023-05-16 21:27:11""], [""page3"", ""2023-05-16 21:25:27""], [""page4"", ""2023-05-16 21:28:03""], [""page5"", ""2023-05-16 21:28:13""], [""page6"", ""2023-05-16 21:27:26""], [""page7"", ""2023-05-16 21:25:26""], [""page8"", ""2023-05-16 21:25:41""]]]"
user1,"[""2023-05-09 01:41:35"", 1004, [[""page0"", ""2023-05-09 01:48:18""], [""page1"", ""2023-05-09 01:46:54""], [""page2"", ""2023-05-09 01:53:08""], [""page3"", ""2023-05-09 01:48:57""], [""page4"", ""2023-05-09 01:55:35""], [""page5"", ""2023-05-09 01:47:21""], [""page6"", ""2023-05-09 01:50:32""], [""page7"", ""2023-05-09 01:43:10""], [""page8"", ""2023-05-09 01:43:13""], [""page9"", ""2023-05-09 01:53:09""], [""page10"", ""2023-05-09 01:57:17""], [""page11"", ""2023-05-09 01:58:16""], [""page12"", ""2023-05-09 01:42:21""], [""conversion"", ""2023-05-09 01:41:52""]]]"
user1,"[""2023-05-26 05:31:50"", 984, [[""page0"", ""2023-05-26 05:43:34""], [""page1"", ""2023-05-26 05:35:54""], [""page2"", ""2023-05-26 05:39:05""], [""page3"", ""2023-05-26 05:40:20""], [""page4"", ""2023-05-26 05:40:52""]]]"
user1,"[""2023-05-24 11:19:37"", 1095, [[""page0"", ""2023-05-24 11:28:03""], [""page1"", ""2023-05-24 11:36:59""], [""page2"", ""2023-05-24 11:37:36""], [""page3"", ""2023-05-24 11:33:00""], [""page4"", ""2023-05-24 11:26:49""], [""page5"", ""2023-05-24 11:21:56""], [""page6"", ""2023-05-24 11:32:19""], [""page7"", ""2023-05-24 11:26:38""], [""page8"", ""2023-05-24 11:33:04""], [""page9"", ""2023-05-24 11:26:01""], [""page10"", ""2023-05-24 11:36:56""], [""page11"", ""2023-05-24 11:36:26""], [""page12"", ""2023-05-24 11:34:32""], [""page13"", ""2023-05-24 11:24:45""], [""page14"", ""2023-05-24 11:20:12""], [""conversion"", ""2023-05-24 11:20:44""]]]"
user1,"[""2023-05-17 19:36:54"", 383, [[""page0"", ""2023-05-17 19:41:46""], [""page1"", ""2023-05-17 19:42:19""], [""page2"", ""2023-05-17 19:38:17""], [""page3"", ""2023-05-17 19:39:10""], [""page4"", ""2023-05-17 19:38:05""], [""page5"", ""2023-05-17 19:41:23""], [""page6"", ""2023-05-17 19:38:03""], [""page7"", ""2023-05-17 19:39:02""], [""page8"", ""2023-05-17 19:41:01""], [""page9"", ""2023-05-17 19:38:57""]]]"
user1,"[""2023-05-08 20:59:53"", 1764, [[""page0"", ""2023-05-08 21:20:10""], [""page1"", ""2023-05-08 21:23:18""], [""page2"", ""2023-05-08 21:28:48""], [""page3"", ""2023-05-08 21:21:38""], [""conversion"", ""2023-05-08 21:10:26""]]]"
user1,"[""2023-05-20 12:03:51"", 1800, [[""page0"", ""2023-05-20 12:27:48""], [""page1"", ""2023-05-20 12:30:31""]]]"
user2,"[""2023-05-22 00:01:26"", 440, [[""page0"", ""2023-05-22 00:02:34""], [""page1"", ""2023-05-22 00:08:29""], [""page2"", ""2023-05-22 00:06:46""], [""page3"", ""2023-05-22 00:07:36""], [""page4"", ""2023-05-22 00:02:53""]]]"
